date,SP,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,SH2M,RH2M,Rainfall,T2M,T2MDEW,T2MWET,TSkin,T2M_RANGE,T2M_MAX,T2M_MIN,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981-04-16,99.73,4.62,6.01,2.47,3.53,71.5,5.25,81.75,0.01,7.65,4.4,6.02,7.9,12.16,14.51,2.35,6.47,7.98,5.12,2.87,71.94
1981-04-17,99.55,5.36,6.78,3.93,2.84,89.19,4.82,80.75,0.02,6.61,3.2,4.9,6.94,10.62,12.26,1.62,7.34,8.7,6.03,2.66,89.69
1981-04-18,99.87,4.66,6.86,2.11,4.75,66.81,4.21,80.19,0.0,4.66,1.22,2.94,5.0,11.24,10.48,-0.77,6.34,8.45,4.01,4.44,67.25
1981-04-19,99.74,4.79,7.52,2.44,5.09,33.06,4.46,82.94,0.03,4.94,2.09,3.51,5.25,10.36,10.4,0.04,6.74,9.63,4.28,5.35,33.56
1981-04-20,100.13,5.08,7.05,2.52,4.53,34.06,4.15,80.5,0.06,4.66,1.26,2.96,5.18,9.38,10.01,0.64,6.94,8.9,5.24,3.66,35.12
1981-04-21,100.05,3.16,4.02,2.24,1.78,271.81,5.07,85.38,0.02,6.3,3.84,5.07,6.86,11.72,11.83,0.11,4.41,6.06,3.38,2.69,273.06
1981-04-22,99.28,3.69,5.71,2.04,3.67,211.38,5.0,83.62,0.26,6.44,3.68,5.05,7.08,8.05,10.89,2.84,5.1,7.16,3.09,4.08,212.0
1981-04-23,98.77,2.69,4.22,1.23,3.0,148.62,3.85,75.69,0.1,4.23,-0.04,2.1,5.12,9.14,8.11,-1.03,3.69,6.44,1.48,4.95,148.75
1981-04-24,97.35,6.92,11.03,2.52,8.51,213.81,4.46,90.38,12.87,3.18,1.71,2.44,3.26,6.55,6.76,0.2,9.32,14.2,4.23,9.97,215.0
1981-04-25,97.67,8.88,12.61,2.38,10.23,38.38,3.91,87.94,3.4,1.94,0.12,1.03,2.03,4.78,4.55,-0.23,11.73,16.22,4.0,12.22,40.06
1981-04-26,98.15,11.36,12.73,9.58,3.15,15.75,3.72,88.88,8.08,1.14,-0.49,0.32,1.07,2.95,2.4,-0.55,14.98,16.54,12.93,3.6,17.69
1981-04-27,98.9,7.89,11.2,2.49,8.71,68.62,4.27,82.0,1.23,4.34,1.36,2.85,4.58,8.48,9.26,0.78,10.78,14.94,5.34,9.6,69.62
1981-04-28,99.19,5.87,8.31,2.66,5.65,297.56,5.8,95.12,3.26,6.42,5.72,6.07,6.33,7.01,8.73,1.73,8.33,10.6,5.73,4.88,298.38
1981-04-29,99.1,5.8,7.07,3.7,3.37,312.44,7.02,94.19,0.57,9.49,8.59,9.04,9.48,4.77,12.68,7.91,8.09,8.84,6.3,2.55,313.19
1981-04-30,98.68,6.77,8.52,5.4,3.12,292.56,6.96,91.94,0.95,9.58,8.3,8.94,9.67,4.82,11.96,7.14,9.09,10.88,7.14,3.74,293.62
1981-05-01,98.26,4.66,6.0,2.54,3.46,275.31,5.0,77.44,0.44,7.34,3.35,5.34,7.98,7.63,10.61,2.98,6.31,8.34,4.95,3.39,261.12
1981-05-02,98.62,3.52,4.86,0.88,3.98,147.88,4.21,76.75,0.82,5.16,1.19,3.18,5.58,6.99,8.68,1.69,4.92,6.59,1.24,5.34,148.25
1981-05-03,97.44,7.31,10.59,1.66,8.94,251.88,5.25,92.88,11.11,4.92,3.87,4.39,4.7,7.56,8.58,1.02,9.96,13.96,2.58,11.39,253.0
1981-05-04,96.95,5.85,7.4,1.78,5.62,322.62,5.19,83.88,1.23,6.55,3.8,5.17,6.72,7.99,10.36,2.37,7.8,9.96,2.71,7.25,323.31
1981-05-05,97.37,4.52,7.3,0.42,6.88,178.44,5.86,89.38,6.79,7.05,5.39,6.22,6.95,7.34,9.59,2.25,5.88,10.08,0.53,9.54,179.62
1981-05-06,97.9,6.19,8.92,3.6,5.32,223.19,7.26,89.81,1.32,10.52,8.94,9.73,10.73,5.84,13.48,7.63,8.52,11.1,6.89,4.21,224.12
1981-05-07,97.42,6.48,9.47,4.01,5.46,138.88,7.63,94.75,6.04,10.2,9.4,9.8,10.14,6.4,13.08,6.67,8.79,12.39,6.02,6.37,139.81
1981-05-08,97.65,4.02,6.41,0.48,5.92,191.75,6.59,81.56,0.3,10.48,7.3,8.89,10.73,6.48,13.43,6.95,5.29,7.71,0.69,7.02,191.62
1981-05-09,97.77,5.9,7.97,1.85,6.12,62.88,6.77,86.12,1.83,10.08,7.72,8.9,10.21,11.96,15.43,3.47,7.99,10.61,2.86,7.75,63.94
1981-05-10,97.44,6.33,9.96,0.77,9.2,107.12,7.08,83.38,4.57,11.25,8.4,9.82,11.17,6.12,14.72,8.59,8.29,13.04,1.12,11.91,107.5
1981-05-11,97.48,4.61,6.91,2.35,4.56,126.62,8.91,87.62,0.43,13.61,11.59,12.6,13.69,11.98,19.67,7.68,6.73,8.47,4.42,4.05,128.06
