date,Rainfall,SP,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,SH2M,RH2M,T2M,T2MDEW,T2MWET,TSkin,T2M_RANGE,T2M_MAX,T2M_MIN,WD50M,WS50M_RANGE,WS50M_MIN,WS50M_MAX,WS50M
1981-04-18,0.0,101.63,3.62,5.09,2.24,2.85,43.44,4.27,77.19,5.83,1.7,3.77,6.37,11.97,11.76,-0.2,44.19,2.97,4.09,7.05,5.43
1981-04-19,0.22,101.39,6.6,9.58,3.08,6.51,104.19,4.39,81.75,5.33,2.26,3.8,5.61,7.58,9.12,1.55,105.12,5.37,6.6,11.97,9.16
1981-04-20,0.22,101.81,5.36,7.59,2.39,5.2,30.44,4.21,79.5,5.31,1.66,3.49,5.68,9.27,10.45,1.18,31.06,5.23,4.28,9.51,7.18
1981-04-21,0.14,101.72,3.14,4.88,1.53,3.35,118.69,4.88,82.12,6.55,3.6,5.07,6.93,10.48,11.09,0.61,118.38,3.12,2.91,6.04,4.55
1981-04-22,2.48,101.01,2.48,6.16,1.23,4.93,149.06,4.82,86.31,5.57,3.33,4.45,6.12,10.54,10.26,-0.27,149.75,6.52,1.59,8.11,3.38
1981-04-23,0.02,100.57,2.53,4.69,1.08,3.61,47.38,3.17,69.88,3.28,-2.48,0.4,4.28,10.84,8.13,-2.7,60.69,6.2,1.22,7.41,3.98
1981-04-24,13.81,99.36,5.93,10.88,0.91,9.97,160.88,4.21,92.31,2.26,1.14,1.7,2.01,4.08,4.73,0.65,163.44,12.07,1.52,13.59,7.99
1981-04-25,9.95,99.32,7.14,11.63,0.4,11.23,53.06,4.15,88.0,2.94,1.07,2.0,2.94,6.5,6.47,-0.03,54.81,14.88,0.56,15.44,9.21
1981-04-26,23.99,99.61,11.77,13.43,10.52,2.91,25.69,4.15,95.06,1.82,1.13,1.48,1.73,2.58,3.25,0.67,27.44,3.86,13.7,17.56,15.44
1981-04-27,2.21,100.53,8.04,11.88,1.47,10.4,50.0,4.21,78.69,5.07,1.46,3.26,5.01,8.21,9.4,1.19,50.69,13.88,2.27,16.15,10.73
1981-04-28,2.17,100.63,5.66,7.41,3.1,4.31,287.25,5.68,93.69,6.4,5.46,5.93,6.26,7.67,9.04,1.37,288.62,3.83,5.94,9.77,8.09
1981-04-29,0.42,100.5,5.99,7.25,4.82,2.43,301.38,7.02,92.44,9.93,8.74,9.33,9.83,5.85,13.12,7.26,302.44,2.63,6.58,9.21,8.44
1981-04-30,0.85,100.06,7.03,9.4,4.38,5.02,288.12,7.02,88.25,10.6,8.65,9.62,10.52,4.99,13.16,8.16,289.19,4.93,7.19,12.12,9.81
1981-05-01,0.57,99.91,3.73,4.49,2.25,2.24,178.25,4.76,78.12,6.83,2.94,4.89,7.47,7.11,9.69,2.58,177.62,2.27,4.45,6.72,5.19
1981-05-02,0.08,100.34,2.95,4.6,1.48,3.12,191.12,3.72,71.25,4.89,-0.2,2.34,4.88,7.59,8.59,1.0,191.0,3.45,2.29,5.73,4.2
1981-05-03,6.5,99.03,6.84,11.28,2.75,8.53,239.06,4.94,89.62,4.81,3.26,4.04,4.67,8.42,8.9,0.48,240.31,8.88,5.61,14.48,9.55
1981-05-04,1.6,98.41,5.41,7.41,2.45,4.97,324.38,5.13,84.38,6.57,3.87,5.22,6.82,9.45,10.91,1.47,325.25,4.2,5.03,9.23,7.41
1981-05-05,4.31,99.21,3.7,7.09,0.73,6.36,192.88,4.64,79.56,5.87,2.26,4.07,6.37,11.12,10.58,-0.55,193.75,8.98,0.7,9.67,5.16
1981-05-06,0.91,99.59,5.43,6.45,3.64,2.8,231.88,7.51,86.38,11.92,9.57,10.74,12.06,7.62,16.01,8.4,232.62,1.91,7.01,8.92,7.86
1981-05-07,1.22,99.39,6.02,8.7,3.07,5.63,148.81,7.87,91.44,11.58,10.19,10.89,11.51,7.91,15.08,7.17,150.06,6.92,4.66,11.59,8.42
1981-05-08,0.53,99.38,2.96,4.07,1.52,2.55,220.31,7.39,86.5,11.6,9.34,10.48,11.44,6.81,15.32,8.51,220.62,3.67,2.46,6.12,4.54
1981-05-09,1.64,99.58,4.95,6.52,1.45,5.06,62.69,7.39,90.06,10.91,9.31,10.11,10.96,7.26,14.6,7.34,63.81,5.91,2.39,8.3,6.48
1981-05-10,11.5,99.28,4.23,7.84,0.38,7.45,167.5,8.3,89.0,12.91,11.03,11.97,13.02,7.98,16.9,8.91,169.25,10.14,0.47,10.61,5.98
1981-05-11,0.23,99.02,5.84,7.66,3.64,4.02,107.06,8.54,86.25,13.81,11.37,12.58,14.1,10.92,20.22,9.3,108.06,3.95,5.7,9.65,7.81
1981-05-12,0.59,99.08,3.7,5.65,2.27,3.38,102.5,8.36,88.81,12.86,11.02,11.94,13.29,10.75,18.76,8.01,103.12,4.53,2.58,7.11,5.41
1981-05-13,0.91,99.31,4.64,6.89,2.65,4.24,125.56,7.69,86.69,12.01,9.94,10.98,12.01,10.11,17.52,7.4,126.19,4.01,5.1,9.11,6.9
1981-05-14,0.29,99.86,4.99,6.2,3.37,2.83,195.75,6.41,80.88,10.74,7.33,9.03,10.98,8.93,15.1,6.17,196.5,2.03,6.26,8.3,7.18
1981-05-15,3.59,100.03,5.69,7.62,3.28,4.34,146.5,6.84,80.94,11.73,8.33,10.03,11.93,10.8,16.37,5.56,147.31,2.59,6.91,9.5,8.06
1981-05-16,9.73,99.32,5.7,7.4,4.18,3.22,171.12,6.41,83.88,10.06,7.28,8.67,10.3,5.11,12.39,7.28,171.94,3.67,5.8,9.47,7.73
1981-05-17,5.1,99.4,6.86,9.7,4.09,5.62,174.56,6.59,89.06,9.39,7.63,8.51,9.39,5.62,12.06,6.44,175.94,5.55,6.98,12.53,9.46
1981-05-18,6.2,99.89,7.02,9.38,4.05,5.32,161.44,7.32,90.81,10.68,9.19,9.94,10.77,6.98,13.27,6.29,162.81,7.2,5.0,12.2,9.3
1981-05-19,0.5,100.36,4.02,6.31,2.23,4.09,193.88,7.81,88.94,12.05,10.23,11.15,12.19,7.16,16.15,8.98,194.31,4.57,4.5,9.07,5.83
1981-05-20,6.56,100.02,5.56,8.68,2.77,5.91,161.06,9.58,89.12,14.97,13.18,14.07,14.87,10.19,19.94,9.76,161.81,5.0,6.12,11.12,8.1
1981-05-21,6.66,100.18,3.49,4.76,2.33,2.43,186.31,7.45,88.62,11.45,9.61,10.53,11.59,6.43,14.4,7.98,187.06,3.88,3.42,7.3,5.39
1981-05-22,1.95,100.08,5.35,6.64,3.73,2.91,199.0,6.9,85.0,10.96,8.37,9.66,11.25,7.92,15.0,7.08,200.0,3.83,4.59,8.41,7.29
